att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,total,table,rater1,rater2,rater3,rater4
3,4,3,4,3,4,4,0,25,table4,0,0,1,0
3,4,3,4,2,3,4,2,25,table5,1,0,0,0
2,4,4,4,2,4,4,1,25,table4,0,0,0,1
2,4,4,3,4,4,4,0,25,table5,0,0,0,1
2,4,4,3,3,4,4,1,25,table3,0,0,0,1
2,4,3,4,3,4,4,1,25,table5,0,1,0,0
2,2,4,3,4,2,4,4,25,table4,1,0,0,0
1,4,4,3,4,3,4,2,25,table5,0,0,1,0
1,3,2,4,4,4,3,4,25,table1,0,1,0,0
0,4,4,4,4,4,4,1,25,table3,0,0,1,0
0,4,4,4,2,3,4,4,25,table3,1,0,0,0
